text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"#niedziela jeszcze handlujemy dobrƒÖ zmianƒÖ 

#woronicza17 #zamachlipcowy #dobrazmiana #biznestobiznes",FALSE,1,NA,2017-07-16T07:56:44Z,FALSE,NA,886494797103591424,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JadeitowaMalpa,1,FALSE,FALSE,NA,NA
#ZamachLipcowy uspokajam. Zamachowcy spod znaku po i n w tej pr√≥bie zamachu sko≈ÑczƒÖ sami ze sobƒÖ . TO MORALNY KONIEC tych faszyst√≥w,FALSE,1,NA,2017-07-16T06:19:23Z,FALSE,NA,886470299591553024,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",energetykPL_RPA,0,FALSE,FALSE,NA,NA
#ZamachLipcowy dzia≈Çania @Platforma_org @Nowoczesna wype≈ÇniajƒÖ wszystkie znamiona zdrady stanu i pozwalajƒÖ na zdelegalizowanie tych formacji,FALSE,2,NA,2017-07-16T06:17:26Z,FALSE,NA,886469808576921600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",energetykPL_RPA,1,FALSE,FALSE,NA,NA
"#ZamachLipcowy kolejny dzie≈Ñ puczu po i n na legalny demokratyczny rzƒÖd wybrany przez miliony. Spok√≥j ,cisza brak czo≈Çgiem.",FALSE,2,NA,2017-07-16T06:16:26Z,FALSE,NA,886469556310614016,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",energetykPL_RPA,0,FALSE,FALSE,NA,NA
"#ZamachLipcowy to co dzi≈õ wyprawia po i n przypomina ≈õcie≈ºkƒô doj≈õcia do w≈Çadzy Hitlera w Niemczech. Marsze , manifestacje .",FALSE,1,NA,2017-07-15T22:51:39Z,FALSE,NA,886357623334895616,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",energetykPL_RPA,0,FALSE,FALSE,NA,NA
#ZamachLipcowy  kolejny dzie≈Ñ puczu i kolejne pytania. Jak deleko posunie siƒô po i n w swym chorym ob≈Çƒôdzie przejƒôcia w≈Çadzy??,FALSE,2,NA,2017-07-15T22:50:42Z,FALSE,NA,886357385006239744,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",energetykPL_RPA,0,FALSE,FALSE,NA,NA
#ZamachLipcowy kolejny dzie≈Ñ peowsko nowoczesnego puczu . Nie ≈õpiƒô bo trzymam kredens demokracji Ì†ºÌ∑µÌ†ºÌ∑±Ì†ºÌ∑µÌ†ºÌ∑±Ì†ºÌ∑µÌ†ºÌ∑±Ì†ºÌ∑µÌ†ºÌ∑±Ì†ºÌ∑µÌ†ºÌ∑±‚úå‚úå‚úåÌ†ºÌ∑µÌ†ºÌ∑±Ì†ºÌ∑µÌ†ºÌ∑±Ì†ºÌ∑µÌ†ºÌ∑±,FALSE,0,NA,2017-07-15T22:46:59Z,FALSE,NA,886356446627192835,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",energetykPL_RPA,0,FALSE,FALSE,NA,NA
@jensstoltenberg #ZamachLipcowy #ZamachStanu #ZamachLIPOWY Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç,FALSE,0,TowarzyszM,2017-07-15T20:26:00Z,FALSE,886320835979563009,886320966971908096,840663716291072005,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TowarzyszM,0,FALSE,FALSE,NA,NA
"Dzi≈õ powstrzymam siƒô od komentarzy. 
Strach pomy≈õleƒá jakie zmiany bƒôdƒÖ nastƒôpne!
+ Zszokowany jestem jak wiele os√≥b ma w d. #ZamachLipcowy",FALSE,0,NA,2017-07-15T20:19:15Z,FALSE,NA,886319270443069440,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Podkanski_S,0,FALSE,FALSE,NA,NA
#ZamachLipcowy  bo jak nie wiadomo o co chodzi to chodzi o kasƒô ( tƒô kt√≥rƒÖ mo≈ºna podprowadziƒá ) By ≈ºy≈Ço siƒô lepiej. https://t.co/WDnoWHquVm,FALSE,1,NA,2017-07-15T20:16:58Z,FALSE,NA,886318692912553985,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",energetykPL_RPA,0,FALSE,FALSE,NA,NA
#ZamachLipcowy godzina 20 30. Pozna≈Ñ. Czo≈Çg√≥w brak . Ludzie na ulicach lekko wstawieni. Ja po grillu ko≈Ñcze 3 piwo. OglƒÖdaƒá Rom√≥w na TVP2,FALSE,5,NA,2017-07-15T18:36:45Z,FALSE,NA,886293475582410753,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",energetykPL_RPA,0,FALSE,FALSE,NA,NA
M√≥wiƒô nie atakowi na niezale≈ºno≈õƒá sƒÖdownictwa #Bro≈ÑmySƒÖd√≥w #ZamachLipcowy #SƒÖdNajwy≈ºszy @AkcjaDemokracja https://t.co/c8AS2R4ZqS,FALSE,7,NA,2017-07-15T15:16:08Z,FALSE,NA,886242987889623040,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BSztajkowska,4,FALSE,FALSE,NA,NA
Z ka≈ºdym hasztagiem #ZamachLipcowy @JunckerEU obala kieliszek wina. Europa op≈Çakuje los demokracji w Polsce.,FALSE,0,NA,2017-07-15T13:18:30Z,FALSE,NA,886213385867722752,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",UrszUrszu,0,FALSE,FALSE,NA,NA
