l.p.,Data wylotu,"LiczbaPAX",Dysponent,Trasa,Data przylotu,"Typ statkupowietrznego",Uwagi
546.,13.11.2012,26,Premier D. Tusk,Waw Bruksela Waw,13.11.2012,EMB,na koszt KPRM
547.,14.11.2012,63,Premier D. Tusk,Waw Berlin,14.11.2012,EMB,na koszt KPRM
548.,14.11.2012,18(22),Premier D. Tusk,Berlin Bruksela Waw,15.11.2012,EMB,na koszt KPRM
549.,10.11.2012,11(27),Premier D. Tusk,Waw Rzeszów Waw,10.11.2012,EMB,na koszt KPRM
550.,19.11.2012,13,Premier D. Tusk,Bydgoszcz Waw,19.11.2012,EMB,ANULOWANE
551.,19.11.2012,14,Premier D. Tusk,Gdańsk Waw,19.11.2012,EMB,na koszt KPRM
552.,22.11.2012,39(41)8,Premier D. Tusk,Waw Bruksela Waw Gdańsk,23.11.2012,EMB,na koszt KPRM
553.,26.11.2012,5(12)24,Premier D. Tusk,Waw Gdańsk Wrocław Waw,26.11.2012,EMB,na koszt KPRM
554.,29.11.2012,11(20),Premier D. Tusk,Waw Wrocław Waw,29.11.2012,EMB,na koszt KPRM
555.,30.11.2012,7,Premier D. Tusk,Waw Białystok (Krywlany),30.11.2012,W3,ANULOWANE
556.,10.12.2012,10(14)15,Premier D. Tusk,Waw Gdańsk Oslo Waw,10.12.2012,EMB,na koszt KPRM
557.,13.12.2012,29(33),Premier D. Tusk,Waw Bruksela Waw,14.12.2012,EMB,na koszt KPRM
558.,24.01.2013,21,Premier D. Tusk,Waw Zurych Waw,24.01.2013,EMB,ANULOWANE
559.,28.01.2013,29(31),Premier D. Tusk,Wa Paryż Waw,28.01.2013,EMB,na koszt KPRM
560.,6.02.2013,27(35),Premier D. Tusk,Waw Luksemburg Bruksela,7.02.2013,EMB,na koszt KPRM
561.,8.02.2013,47,Premier D. Tusk,Bruksela Warszawa,8.02.2013,EMB,na koszt KPRM
562.,4.03.2013,45(46),Premier D. Tusk,Waw Hanower Waw,5.03.2013,EMB,na koszt KPRM
563.,11.03.2013,24(28)29,Premier D. Tusk,Waw Gdańsk Tallin Waw,11.03.2013,EMB,na koszt KPRM
564.,14.03.2013,26(29),Premier D. Tusk,Waw Bruksela Waw,15.03.2013,EMB,na koszt KPRM
565.,27.03.2013,32(33),Premier D. Tusk,Waw Poprad Waw,27.03.2013,EMB,na koszt KPRM
566.,9.04.2013,47,"KPRM {Szef KPRM J.Cichocki}",Waw Moskwa Waw,10.04.2013,EMB,na koszt KPRM
567.,7.04.2013,8,Premier D. Tusk,Gdansk Waw,7.04.2013,EMB,"zgłoszono telefoiicznie w sobotę6.04.13 - na koszt KPRM"
568.,21.04.2013,18(22)22,Premier D. Tusk,Waw Gdańsk Berlin Waw,22.04.2013,EMB,na koszt KPRM
569.,17.04.2013,20(17),Premier D. Tusk,Waw Londyn Waw,17.04.2013,EMB,na koszt KPRM
570.,18.04.2013,6(7),Premier D. Tusk,Waw Włocławek Waw,18.04.2013,W3,ANULOWANE
571.,22.05.2013,27(31),Premier D. Tusk,Waw Bruksela Waw,22.05.2013,EMB,na koszt KPRM
572.,27.05.2013,24,Premier D. Tusk,Gdańsk Waw,27.05.2013,EMB,ANULOWANE
573.,7.06.2013,19(21)16,Premier D. Tusk / KPRM,Waw Lizbona Gdańsk Waw,8.06.2013,EMB,na koszt KPRM
574.,3.06.2013,7(15)15,KPRM / Premier D. Tusk,Waw Gdańsk Łódź Waw,3.06.2013,EMB,na koszt KPRM
575.,10.06.2013,18(22)25,KPRM / Premier D. Tusk,Waw Gdańsk Belgrad Waw,10.06.2013,EMB,na koszt KPRM
576.,20.06.2013,23,Premier D. Tusk,Waw Wiedeń Waw,20.06.2013,EMB,ANULOWANE
577.,27.06.2013,"29(27)33(27)",Premier D. Tusk / KPRM,Waw Wrocław Bruksela Katowice Waw,28.06.2013,EMB,na koszt KPRM
578.,30.06.2013,29(28),Premier D. Tusk,Waw Zagrzeb Waw,1.07.2013,EMB,na koszt KPRM
579.,3.07.2013,20(25),Premier D. Tusk,Waw Berlin Waw,3.07.2013,EMB,na koszt KPRM
580.,14.07.2013,41(48)49,Premier D. Tusk,Waw Gdańsk Madryt Waw,15.07.2013,EMB,na koszt KPRM
581.,29.07.2013,10(22),Premier D. Tusk,Waw Babimost Waw,29.07.2013,EMB,na koszt KPRM
582.,2.08.2013,6,Premier D. Tusk,Mińsk Maz. Wadowice Waw,2.08.2013,W3,na koszt KPRM
583.,24.08.2013,30(27)23,Premier D. Tusk,Waw Bratysława Gdańsk Waw,24.08.2013,EMB,wyjazd anulowany
584.,29.08.2013,5,Premier D. Tusk,Waw Busko Zdrój Waw,29.08.2013,W3,na koszt KPRM
585.,3.09.2013,b.d.,Premier D. Tusk,Waw Kraków Waw,3.09.2013,EMB,ANULOWANE
586.,3.09.2013,5(6),Premier D. Tusk,Waw Krynica Waw,3.09.2013,W3,na koszt KPRM
587.,5.09.2013,12(15),Premier D. Tusk,Waw Rzeszów Waw,5.09.2013,EMB,ANULOWANE
588.,7.09.2013,8,Premier D. Tusk,Waw Gdańsk,7.09.2013,EMB,ANULOWANE
589.,10.09.2013,8,Premier D. Tusk,Katowice Waw,10.09.2013,W3,na koszt KPRM
590.,16.09.2013,6(13)20,Premier D. Tusk,Waw Gdansk Katowice Waw,16.09.2013,EMB,na koszt KPRM
591.,20.09.2013,11,Premier D. Tusk,Waw Gdańsk,20.09.2013,EMB,ANULOWANE
592.,24.09.2013,16(15),Premier D. Tusk,Waw Gdańsk Waw,26.09.2013,EMB,na koszt KPRM
593.,30.09.2013,11(17),Premier D. Tusk,Gdańsk Łódź Waw,30.09.2013,EMB,na koszt KPRM
594.,14.10.2013,27(31)32,Premier D. Tusk,Waw Gdańsk Budapeszt Waw,14.10.2013,EMB,na koszt KPRM
595.,3.10.2013,11(13),Premier D. Tusk,Waw Kraków Waw,3.10.2013,EMB,na koszt KPRM
596.,3.10.2013,7,Premier D. Tusk,Kraków Lubliniec Kraków,3.10.2013,W3,na koszt KPRM
597.,24.10.2013,24(29),Premier D. Tusk,Waw Bruksela Waw,25.10.2013,EMB,na koszt KPRM
598.,31.10.2013,59 (4),"Premier D. Tusk + del. PremieraSingapuru",Waw Gdańsk Waw,31.10.2013,EMB,na koszt KPRM
599.,11.11.2013,23,Premier D. Tusk,Waw Paryż Waw,12.11.2013,EMB,na koszt KPRM
600.,26.11.2013,57(55),Premier D. Tusk,Waw Bukareszt Waw,26.11.2013,EMB,na koszt KPRM
601.,29.11.2013,13(23),Premier D. Tusk,Waw KrakówWaw,29.11.2013,EMB,na koszt KPRM
602.,1.12.2013,11,Premier D. Tusk,Gdańsk Waw,1.12.2013,EMB,na koszt KPRM
603.,4.12.2013,28,Premier D. Tusk,Katowice Waw,4.12.2013,EMB,na koszt KPRM
604.,9.12.2013,6(13)26,Premier D. Tusk,Waw Gdańsk Poznań Waw,9.12.2013,EMB,na koszt KPRM
605.,22.12.2013,12(23)12,Premier D. Tusk,Waw Kraków Gdańsk Waw,22.12.2013,EMB,na koszt KPRM
606.,19.12.2013,28(38),Premier D. Tusk,Waw Bruksela Waw,20.12.2013,EMB,na koszt KPRM
607.,21.12.2013,10,Premier D. Tusk,Gdańsk Waw,21.12.2013,EMB,ANULOWANE
608.,28.12.2013,19(11),Premier D. Tusk,Kraków Gdańsk Warszawa,28.12.2013,EMB,na koszt KPRM
609.,29.01.2014,34(35),Premier D. Tusk,Waw Budapeszt Bruksela Paryż Waw,29.01.2014,EMB,na koszt KPRM
610.,24.01.2014,20,Premier D. Tusk,Waw Wrocław Waw,25.01.2014,EMB,ANULOWANE
611.,31.01.2014,30(31),Premier D. Tusk,Waw Berlin Oxfordshire Waw,31.01.2014,EMB,na koszt KPRM
612.,3.02.2014,29,Premier D. Tusk,Waw Gdańsk Tallinn Sztokholm Helsinki Waw,3.02.2014,EMB,na koszt KPRM
613.,6.02.2014,30,Premier D. Tusk,Waw Kiszyniów Waw,6.02.2014,EMB,na koszt KPRM
614.,15.02.2014,6,Premier D. Tusk,Opole Zakopane Kraków,16.02.2014,W-3,na koszt KPRM
615.,14.02.2014,13(11),Premier D. Tusk,Waw Wrocław Kraków Waw,16.02.2014,EMB,na koszt KPRM
616.,21.02.2014,16(20),Premier D. Tusk,Waw Rzeszów Waw,21.02.2014,EMB,na koszt KPRM
617.,24.02.2014,7,Premier D. Tusk,Gdańsk Białystok Waw,24.02.2014,W-3,ANULOWANE
618.,28.02.2014,14(29),Premier D. Tusk,Waw Katowice Waw,1.03.2014,EMB,ANULOWANE
619.,6.03.2014,"30(38)31(23)",Premier D. Tusk,Waw Bruksela Dublin Gdańsk Waw,7.03.2014,EMB,na koszt KPRM
620.,8.03.2014,11(26)19,Premier D. Tusk / KPRM,Gdańsk Kraków Gdańsk Waw,8.03.2014,EMB,na koszt KPRM
621.,10.03.2014,16,Premier D. Tusk,Gdańsk Waw,10.03.2014,EMB,"ANULOWANO - przelot CASĄorganizowany przez MON: trasaSiemirowice 12:10 -Waw 13:10,24 pax"
623.,28.03.2014,74(77),Premier D. Tusk,Waw Kiszyniów Waw,28.03.2014,EMB,na koszt KPRM
624.,26.03.2014,12(22),Premier D. Tusk,Waw Gdańsk Waw,26.03.2014,EMB,na koszt KPRM
625.,29.03.2014,12(22),Premier D. Tusk,Waw Katowice Waw,29.03.2014,EMB,na koszt KPRM
626.,30.03.2014,14(31),Premier D. Tusk,Waw Rzeszów Waw,30.03.2014,EMB,na koszt KPRM
627.,30.03.2014,7,Premier D. Tusk,Lubaczów Sanok Rzeszów,30.03.2014,W3,ANULOWANE
628.,2.04.2014,21(31),Premier D. Tusk,Waw Bruksela Waw,2.04.2014,EMB,na koszt KPRM
629.,5.04.2014,11,Premier D. Tusk,Waw Poznań Gdańsk,5.04.2014,EMB,ANULOWANE
630.,6.04.2014,7,Premier D. Tusk,Gdańsk Bartoszyce Gdańsk,6.04.2014,W3,na koszt KPRM
631.,9.04.2014,13(18),Premier D. Tusk,Waw Kraków Waw,9.04.2014,EMB,na koszt KPRM
632.,10.04.2014,10(14),Premier D. Tusk,Waw Gdańsk Waw,10.04.2014,EMB,na koszt KPRM
633.,11.04.2014,13(27)20,Premier D. Tusk,Waw Kraków Gdańsk Waw,11.04.2014,EMB,na koszt KPRM
634.,14.04.2014,17(23),Premier D. Tusk,Waw Łask Waw,14.04.2014,CASA,na koszt KPRM
635.,17.04.2014,14(23),Premier D. Tusk,Waw Katowice Waw,17.04.2014,EMB,na koszt KPRM
636.,23.04.2014,28(27)27,Premier D. Tusk,Waw Bruksela Paryż Waw,24.04.2014,EMB,na koszt KPRM
637.,25.04.2014,28(32)31,Premier D. Tusk,Waw Poznań Berlin Gdańsk Waw,25.04.2014,EMB,na koszt KPRM
638.,26.04.2014,11,Premier D. Tusk,Warszawa-Rzym-Warszawa,27.04.2014,EMB,na koszt KPRM
639.,29.04.2014,16(18),Premier D. Tusk,Warszawa-Madryt-Warszawa,30.04.2014,EMB,na koszt KPRM
640.,16.05.2014,31(40),Premier D. Tusk,Waw Neapol ~ Rzym Waw,19.05.2014,EMB,na koszt KPRM
641.,17.05.2014,33(42),KPRM,Waw Rzym Waw,18.05.2014,EMB,na koszt KPRM
642.,16.05.2014,18(16),KPRM {dziennikarze},Waw Neapol Waw,18.05.2014,CASA,na koszt KPRM
643.,1.05.2014,10,Premier D. Tusk,Elbląg-Giżycko-Warszawa,13.05.2014,W3,ANULOWANO
644.,1.05.2014,10,Premier D. Tusk,Waw-Gdańsk,1.05.2014,EMB,ANULOWANO
645.,3.05.2014,7,Premier D. Tusk,Waw-Częstochowa-Waw,3.05.2014,W3,ANULOWANO
646.,5.05.2014,15(35),Premier D. Tusk,Waw-Katowice-Waw,7.05.2014,EMB,na koszt KPRM
647.,15.05.2014,28(30)38,Premier D. Tusk,Waw Bratysława Kraków Waw,15.05.2014,EMB,na koszt KPRM
648.,14.05.2014,11(20),Premier D. Tusk,Waw Babimost Waw,14.05.2014,EMB,ANULOWANO
649.,16.05.2014,10(17),Premier D. Tusk,Waw Rzeszów Waw,16.05.2014,EMB,na koszt KPRM
650.,22.05.2014,6-10,Premier D. Tusk,Gdańsk platf.LOTOS Gdańsk,22.05.2014,W3,ANULOWANO
651.,22.05.2014,"14(15)15(16)15",Premier D. Tusk,"Waw Szczecin ~ Babimost Wrocław KatowiceGdańsk Waw",23.05.2014,EMB,na koszt KPRM
652.,21.05.2014,24(26),Premier D. Tusk,Waw Bruksela Waw,21.05.2014,EMB,na koszt KPRM
653.,27.05.2014,29(28)22,Premier D. Tusk,Waw Bruksela Szczecin,28.05.2014,EMB,na koszt KPRM
654.,28.05.2014,22,Premier D. Tusk,Szczecin Waw,28.05.2014,EMB,na koszt KPRM
655.,29.05.2014,16(15),Premier D. Tusk,Waw Wrocław Waw,20.05.2014,EMB,na koszt KPRM
656.,5.06.2014,18(14)17,Premier D. Tusk,Waw Katowice Wrocław Waw,5.06.2014,EMB,na koszt KPRM
657.,17.06.2014,7,Premier D. Tusk,Waw Kielce Waw,17.06.2014,W3,ANULOWANO
658.,14.06.2014,11(20)13,Premier D. Tusk,Waw Kraków ~ Katowice Gdańsk Waw,14.06.2014,EMB,ANULOWANO
659.,18.06.2014,26(27)23,Premier D. Tusk,Waw Helsinki Gdańsk Waw,17.06.2014,EMB,ANULOWANO
661.,23.06.2014,22(62),Premier D. Tusk,Waw Gdańsk Waw,23.06.2014,EMB,na koszt KPRM
662.,24.06.2014,28(29),Premier D. Tusk,Waw Budapeszt Waw,24.06.2014,EMB,na koszt KPRM
663.,26.06.2014,32(21)36,Premier D. Tusk,Waw Kortrijk Bruksela Waw,27.06.2014,EMB,na koszt KPRM
664.,9.07.2014,11(12),Premier D. Tusk,Waw Berlin Waw,10.07.2014,EMB,na koszt KPRM
665.,16.07.2014,27(29),Premier D. Tusk,Waw Bruksela Waw,17.07.2014,EMB,na koszt KPRM
666.,30.08.2014,33(35)27,Premier D. Tusk,Waw  Bruksela Gdańsk Waw,31.08.2014,EMB,na koszt KPRM
667.,1.09.2014,14,Premier D. Tusk,Gdańsk Warszawa,1.09.2014,EMB,na koszt KPRM
668.,1.09.2014,7,Premier D. Tusk,Ostrowiec Św. Waw,1.09.2014,W3,na koszt KPRM
669.,2.09.2014,8,Premier D. Tusk,Waw Masłów Waw,2.09.2014,W3,ANULOWANE
670.,5.09.2014,13 (25),Premier D. Tusk,Waw Katowice Waw,5.09.2014,EMB,na koszt KPRM
671.,6.10.2014,41(40),Premier E. Kopacz,Waw Bruksela Waw,6.10.2014,EMB,na koszt KPRM
672.,9.10.2014,43(41)43,Premier E. Kopacz,Waw Berlin Paryż Waw,10.10.2014,EMB,na koszt KPRM
673.,7.10.2014,13(16),Premier E. Kopacz,Waw Katowice Waw,7.10.2014,EMB,na koszt KPRM
674.,11.10.2014,6,Premier E. Kopacz,Waw Michałków ~ Kazimierz Biskupi Waw,11.10.2014,W3,ANULOWANE
675.,16.10.2014,32(36),Premier E. Kopacz,Waw Mediolan Waw,17.10.2014,EMB,na koszt KPRM
676.,23.10.2014,37(40),Premier E. Kopacz,Waw Bruksela Waw,24.10.2014,EMB,na koszt KPRM
677.,30.10.2014,11(19),Premier E. Kopacz,Waw Babimost ~ Wrocław Waw,30.10.2014,EMB,na koszt KPRM
678.,3.11.2014,14(29),Premier E. Kopacz,Waw Wrocław ~ Katowice Waw,3.11.2014,EMB,na koszt KPRM
679.,11.11.2014,,Premier E. Kopacz,Waw Szczecin Waw,11.11.2014,EMB,ANULOWANE
680.,13.11.2014,15,Premier E. Kopacz,Waw Bydgoszcz Waw,13.11.2014,EMB,ANULOWANE
681.,20.11.2014,27(50),Premier E. Kopacz,Waw Wrocław Waw,20.11.2014,EMB,na koszt KPRM
683.,2.12.2014,30(34),Premier E. Kopacz,Waw Praga Waw,2.12.2014,EMB,na koszt KPRM
684.,9.12.2014,31(32),Premier E. Kopacz,Waw Bratysława Waw/Kraków,9.12.2014,EMB,"lądowanie w KRK ze wzgl. nawar. meteo."
685.,4.12.2014,6,Premier E. Kopacz,Waw Katowice,4.12.2014,W3,na koszt KPRM
686.,4.12.2014,22,Premier E. Kopacz,Katowice Waw,4.12.2014,EMB,na koszt KPRM
687.,16.12.2014,31(32),Premier E. Kopacz,Waw Belgrad Waw,16.12.2014,EMB,ANULOWANE
688.,18.12.2014,32(40),Premier E. Kopacz,Waw Bruksela Waw,19.12.2014,EMB,na koszt KPRM
689.,11.01.2015,15(21),Premier E. Kopacz,WAW-PARYŻ-WAW,11.01.2015,EMB,na koszt KPRM
690.,12.01.2015,19(33),Premier E. Kopacz,WAW-KATOWICE-WAW,13.01.2015,EMB,na koszt KPRM
691.,19.01.2015,42(44),Premier E. Kopacz,WAW-KIJÓW-WAW,19.01.2015,EMB,na koszt KPRM
692.,19.01.2015,30(34),KPRM,WAW-KIJÓW-WAW,19.01.2015,EMB,na koszt KPRM
693.,29.01.2015,52(54),Premier E. Kopacz,WAW-PARYŻ-WAW,30.01.2015,EMB,na koszt KPRM
694.,17.01.2015,27,Premier E. Kopacz,KATOWICE-WAW,17.01.2015,EMB,na koszt KPRM
695.,27.01.2015,25,Premier E. Kopacz,WAW-KRAKÓW-WAW,27.01.2015,EMB,ANULOWANE
696.,12.02.2015,28(31),Premier E. Kopacz,WAW-BRUKSELA-WAW,13.02.2015,EMB,na koszt KPRM
697.,11.02.2015,7,Premier E. Kopacz,ŁÓDŹ-WAW,11.02.2015,W3,ANULOWANE
698.,16.02.2015,18(22),Premier E. Kopacz,WAW-LUBLIN-WAW,16.02.2015,EMB,na koszt KPRM
700.,23.02.2015,7,Premier E. Kopacz,WAW-MASŁÓW-WAW,23.02.2015,W3,ANULOWANE
701.,27.02.2015,7(1),Premier E. Kopacz / KPRM,WAW-RYBAKI-WAW,5.02.2015,W3,ANULOWANE
702.,5.03.2015,14(18),Premier E. Kopacz,WAW-POZNAŃ-WAW,5.03.2015,EMB,na koszt KPRM
703.,11.03.2015,17(34),Premier E. Kopacz,WAW-KRAKÓW-WAW,11.03.2015,EMB,ANULOWANE
704.,19.03.2015,29,Premier E. Kopacz,WAW-BRUKSELA-WAW,20.03.2015,EMB,na koszt KPRM
705.,10.04.2015,44(45),KPRM {Szef KPRM},WAW-WITEBSK-WAW,10.04.2015,EMB,na koszt KPRM
706.,17.04.2015,38(39)56,Premier E. Kopacz,WAW-BOLONIA-PRAGA-WAW,20.04.2015,EMB,na koszt KPRM
707.,19.04.2015,1,KPRM,PRAGA-WAW,19.04.2015,EMB,"powrót samolotu do WAW z 1pax z CIR - samolot 20 IVrealizacja lotu z ministramiWAW-PRG"
708.,20.04.2015,23,KPRM {ministrowie},WAW-PRAGA,20.04.2015,EMB,na koszt KPRM
709.,10.04.2015,8,Premier E. Kopacz,WAW-GDAŃSK,10.04.2015,W3,ANULOWANE
710.,10.04.2015,6,Premier E. Kopacz,WAW-GDAŃSK,10.04.2015,W3,na koszt KPRM
711.,29.04.2015,18(41),Premier E. Kopacz,WAW-KRAKÓW-WAW,29.04.2015,EMB,na koszt KPRM
712.,23.04.2015,27(29),Premier E. Kopacz,WAW-BRUKSELA-WAW,23.04.2015,EMB,na koszt KPRM
713.,8.05.2015,28,Premier E. Kopacz,GDAŃSK-WAW,8.05.2015,EMB,na koszt KPRM
714.,13.05.2015,13(24),Premier E. Kopacz,WAW-GDAŃSK-WAW,13.05.2015,EMB,na koszt KPRM
715.,14.05.2015,16(15),Premier E. Kopacz,WAW-ŁASK-WAW,14.05.2015,CASA,ANULOWANO
716.,18.05.2015,8,Premier E. Kopacz,WROCŁAW-BOGATYNIA-WROCŁAW,18.05.2015,W3,na koszt KPRM
717.,18.05.2015,13(19),Premier E. Kopacz,WAW-WROCŁAW-WAW,18.05.2015,EMB,na koszt KPRM
718.,21.05.2015,30(28)31,Premier E. Kopacz,WAW-KATOWICE-RYGA-WAW,22.05.2015,EMB,na koszt KPRM
719.,20.05.2015,12(18),Premier E. Kopacz,WAW-BABIMOST-WAW,20.05.2015,EMB,ANULOWANO
720.,21.05.2015,11(14),Premier E. Kopacz,WAW-KATOWICE-WAW,21.05.2015,EMB,połaczono z lotem do Rygi
721.,27.05.2015,13,Premier E. Kopacz,WAW-KATOWICE-WAW,27.05.2015,EMB,ANULOWANO
722.,11.06.2015,25,Premier E. Kopacz,WAW-BRUKSELA-WAW,11.06.2015,EMB,na koszt KPRM
723.,11.06.2015,33(34),Premier E. Kopacz,WAW-RZYM-WAW,12.06.2015,EMB,na koszt KPRM
724.,19.06.2015,32(34),Premier E. Kopacz,WAW-BRATYSŁAWA-WAW,19.06.2015,EMB,na koszt KPRM
725.,25.06.2015,30(33),Premier E. Kopacz,WAW-BRUKSELA-WAW,26.06.2015,EMB,na koszt KPRM
726.,28.06.2015,47,Premier E. Kopacz,GDAŃSK-WAW,28.06.2015,EMB,ANULOWANE
727.,3.07.2015,30(29),Premier E. Kopacz,WAW-KATOWICE-WAW,3.07.2015,CASA,na koszt KPRM
728.,12.07.2015,33(30),Premier E. Kopacz,WAW-BRUKSELA-WAW,12.07.2015,EMB,ANULOWANO
729.,15.07.2015,48(50),Premier E. Kopacz,WAW-MADRYT-WAW,16.07.2015,EMB,na koszt KPRM
730.,2015-08.24,7(6),Premier E. Kopacz,WAW-WARKA-WAW,2015-08.24,W3,na koszt KPRM
731.,3.09.2015,19(29),Premier E. Kopacz,WAW-KATOWICE-WAW,3.09.2015,EMB,na koszt KPRM
732.,4.09.2015,40(35)37,Premier E. Kopacz,WAW-GDAŃSK-PRAGA-WAW,4.09.2015,EMB,na koszt KPRM
733.,9.09.2015,19(22),Premier E. Kopacz,WAW-KRAKÓW-WAW,10.09.2015,EMB,na koszt KPRM
734.,17.09.2015,35(36),KPRM,WAW-KIJÓW-WAW,17.09.2015,CASA,na koszt KPRM
735.,17.09.2015,36,Premier E. Kopacz,WAW-KIJÓW-WAW,17.09.2015,EMB,na koszt KPRM
736.,19.09.2015,40,Premier E. Kopacz,WAW-LARNAKA-BEJRUT-WAW,20.09.2015,EMB,ANULOWANE
737.,23.09.2015,29(38),Premier E. Kopacz,WAW-BRUKSELA-WAW,24.09.2015,EMB,na koszt KPRM
738.,25.09.2015,16,Premier E. Kopacz,WAW-GDAŃSK-WAW,25.09.2015,EMB,na koszt KPRM
739.,8.10.2015,36,Premier E. Kopacz,WAW-GLASGOW-WAW,7.10.2015,EMB,ANULOWANE
740.,15.10.2015,27(33),Premier E. Kopacz,WAW-BRUKSELA-WAW,16.10.2015,EMB,na koszt KPRM
741.,23.10.2015,8,Premier E. Kopacz,WAW-MASŁÓW-WAW,23.10.2015,W3,na koszt KPRM
